company_name,sic_codes,industry_sector,company_age_years,region,packaging_need,packaging_reason,packaging_multiplier,prospect_score,priority_tier,industry_score,age_score,size_score,geo_score,web_score
Data Innovations,96020,Other Services,9.0,Belfast,MEDIUM,Industry may have packaging needs,0.85,65.45,Warm,40.0,100.0,100.0,50.0,100.0
CKA Manufacturing,18130,Manufacturing,50.3,Nottingham,HIGH,Products need packaging for distribution,1.0,65.44,Warm,67.33,78.7,89.0,12.5,40.0
Speedy PLC,56103,Accommodation & Food,7.7,London,MEDIUM,Food service packaging,0.85,65.39,Warm,75.0,100.0,95.0,46.74,40.0
Taylor & Williams Group,81210,Administrative Services,7.8,Oldham,MEDIUM,Industry may have packaging needs,0.85,65.36,Warm,69.64,100.0,100.0,50.0,40.0
South Solutions,78200,Administrative Services,16.0,Doncaster,MEDIUM,Industry may have packaging needs,0.85,65.36,Warm,69.64,100.0,100.0,50.0,40.0
HUW Marketing,78200,Administrative Services,25.8,Preston,MEDIUM,Industry may have packaging needs,0.85,65.36,Warm,69.64,100.0,100.0,50.0,40.0
Roberts & Johnson Creative,62011,Information & Communication,38.1,London,MEDIUM,Industry may have packaging needs,0.85,65.33,Warm,54.17,90.9,91.0,46.74,100.0
Central Group,52290,Transportation,15.0,East of England,MEDIUM,Industry may have packaging needs,0.85,65.29,Warm,50.0,100.0,100.0,50.0,78.74
Smart Industries,86101,Health,7.6,Halifax,MEDIUM,Industry may have packaging needs,0.85,65.29,Warm,50.0,100.0,100.0,50.0,78.74
Taylor & Smith Marketing,53202,Transportation,22.8,Plymouth,MEDIUM,Industry may have packaging needs,0.85,65.29,Warm,50.0,100.0,100.0,50.0,78.74
Atlas Ltd,62090,Information & Communication,2.4,Aberdeen,MEDIUM,Industry may have packaging needs,0.85,65.15,Warm,54.17,77.0,100.0,50.0,100.0
KFL Logistics,86210,Health,4.1,Northampton,MEDIUM,Industry may have packaging needs,0.85,65.11,Warm,50.0,85.5,98.0,50.0,100.0
Net UK,62020,Information & Communication,7.4,London,MEDIUM,Industry may have packaging needs,0.85,65.01,Warm,54.17,100.0,95.0,46.74,78.74
Wright & Brown Media,62020,Information & Communication,5.2,Manchester,MEDIUM,Industry may have packaging needs,0.85,64.82,Warm,54.17,91.0,100.0,50.0,78.74
Nexus Limited,74909,Professional Services,2.8,Taunton,MEDIUM,"Design services, presentations",0.85,64.7,Warm,52.73,79.0,98.0,50.0,100.0
Brown & Johnson Engineering,74909,Professional Services,3.5,London,MEDIUM,"Design services, presentations",0.85,64.7,Warm,52.73,82.5,96.5,46.74,100.0
Johnson & Evans Development,43220,Construction,25.6,Darlington,MEDIUM,Industry may have packaging needs,0.85,64.6,Warm,66.67,100.0,100.0,50.0,40.0
Evans & Thomas Capital,42110,Construction,9.7,Taunton,MEDIUM,Industry may have packaging needs,0.85,64.55,Warm,36.49,100.0,100.0,50.0,100.0
GDA Partners,41100,Construction,15.5,Southend,MEDIUM,Industry may have packaging needs,0.85,64.55,Warm,36.49,100.0,100.0,50.0,100.0
Urban Systems,55900,Accommodation & Food,1.3,London,MEDIUM,Food service packaging,0.85,64.5,Warm,61.36,71.5,94.0,46.74,100.0
Urban PLC,86900,Health,6.0,Bradford,MEDIUM,Industry may have packaging needs,0.85,64.44,Warm,50.0,95.0,100.0,50.0,78.74
PKU Construction,43220,Construction,8.5,London,MEDIUM,Industry may have packaging needs,0.85,64.32,Warm,66.67,100.0,100.0,46.74,40.0
Titan LLP,43999,Construction,10.9,London,MEDIUM,Industry may have packaging needs,0.85,64.28,Warm,36.49,100.0,100.0,46.74,100.0
GMK Systems,62020,Information & Communication,5.8,Ipswich,MEDIUM,Industry may have packaging needs,0.85,64.27,Warm,54.17,94.0,95.0,50.0,78.74
XMP Resources,43210,Construction,4.5,Liverpool,MEDIUM,Industry may have packaging needs,0.85,64.24,Warm,36.49,87.5,98.5,75.0,100.0
Silver Limited,42210,Construction,6.6,Ipswich,MEDIUM,Industry may have packaging needs,0.85,64.21,Warm,36.49,98.0,100.0,50.0,100.0
North Limited,74100,Professional Services,28.8,West Midlands,MEDIUM,"Design services, presentations",0.85,64.19,Warm,52.73,100.0,100.0,28.85,78.74
MAJ Group,73110,Professional Services,3.7,Peterborough,MEDIUM,"Marketing materials, presentation folders",0.85,64.19,Warm,52.73,83.5,92.0,50.0,100.0
YBT Communications,56101,Accommodation & Food,1.1,Lancashire,MEDIUM,Food service packaging,0.85,64.18,Warm,61.36,70.5,97.0,37.5,100.0
Nova Consulting,74100,Professional Services,2.4,Kilmarnock,MEDIUM,"Design services, presentations",0.85,64.15,Warm,52.73,77.0,97.0,50.0,100.0
MUO Industries,80200,Administrative Services,5.8,London,MEDIUM,Industry may have packaging needs,0.85,64.06,Warm,69.64,94.0,100.0,46.74,40.0
WSJ Design,81100,Administrative Services,5.2,Belfast,MEDIUM,Industry may have packaging needs,0.85,63.83,Warm,69.64,91.0,100.0,50.0,40.0
Walker & Wilson Partners,78109,Administrative Services,9.7,Glasgow,MEDIUM,Industry may have packaging needs,0.85,63.77,Warm,69.64,100.0,100.0,31.25,40.0
Smith & Davies Associates,73120,Professional Services,3.8,London,MEDIUM,"Marketing materials, presentation folders",0.85,63.68,Warm,52.73,84.0,90.5,46.74,100.0
PTF Holdings,43320,Construction,14.8,London,MEDIUM,Industry may have packaging needs,0.85,63.64,Warm,36.49,100.0,97.0,46.74,100.0
KLZ Media,73120,Professional Services,2.2,London,MEDIUM,"Marketing materials, presentation folders",0.85,63.6,Warm,52.73,76.0,96.5,46.74,100.0
Elite Associates,82990,Administrative Services,8.0,West Midlands,MEDIUM,Fulfillment and business support,0.85,63.56,Warm,69.64,100.0,100.0,28.85,40.0
Elite Design,62012,Information & Communication,1.7,Dumfries,MEDIUM,Industry may have packaging needs,0.85,63.5,Warm,54.17,73.5,95.0,50.0,100.0
Red UK,74100,Professional Services,1.9,Blackpool,MEDIUM,"Design services, presentations",0.85,63.41,Warm,52.73,74.5,95.5,50.0,100.0
MWG Systems,56302,Accommodation & Food,5.6,Darlington,MEDIUM,Food service packaging,0.85,63.41,Warm,66.67,93.0,100.0,50.0,40.0
GYN Consulting,81210,Administrative Services,33.1,Belfast,MEDIUM,Industry may have packaging needs,0.85,63.39,Warm,69.64,95.9,94.0,50.0,40.0
Global & Co,43330,Construction,5.5,Teesside,MEDIUM,Industry may have packaging needs,0.85,63.28,Warm,36.49,92.5,100.0,50.0,100.0
Thomas & Taylor Design,55900,Accommodation & Food,21.3,Newport,MEDIUM,Food service packaging,0.85,63.25,Warm,61.36,100.0,100.0,50.0,40.0
SCE Properties,56101,Accommodation & Food,9.0,Wales,MEDIUM,Food service packaging,0.85,63.25,Warm,61.36,100.0,100.0,50.0,40.0
BJQ Services,56102,Accommodation & Food,15.8,Dumfries,MEDIUM,Food service packaging,0.85,63.25,Warm,61.36,100.0,100.0,50.0,40.0
Phoenix International,55100,Accommodation & Food,11.1,Belfast,MEDIUM,Food service packaging,0.85,63.25,Warm,61.36,100.0,100.0,50.0,40.0
Elite Development,55100,Accommodation & Food,7.6,East of England,MEDIUM,Food service packaging,0.85,63.25,Warm,61.36,100.0,100.0,50.0,40.0
Roberts & Brown Enterprises,42990,Construction,12.0,London,MEDIUM,Industry may have packaging needs,0.85,63.21,Warm,36.49,100.0,95.0,46.74,100.0
Swift UK,63110,Information & Communication,3.4,London,MEDIUM,Industry may have packaging needs,0.85,63.01,Warm,54.17,82.0,100.0,46.74,78.74
AQY Logistics,96090,Other Services,4.6,Coventry,MEDIUM,Industry may have packaging needs,0.85,62.98,Warm,40.0,88.0,98.0,50.0,100.0
Wilson & Davies Trading,43220,Construction,0.9,Perth,MEDIUM,Industry may have packaging needs,0.85,62.97,Warm,66.67,69.5,93.5,50.0,78.74
Nova PLC,56101,Accommodation & Food,10.9,London,MEDIUM,Food service packaging,0.85,62.97,Warm,61.36,100.0,100.0,46.74,40.0
Eco Solutions,63110,Information & Communication,1.6,Belfast,MEDIUM,Industry may have packaging needs,0.85,62.77,Warm,54.17,73.0,92.0,50.0,100.0
North International,63110,Information & Communication,2.5,West Midlands,MEDIUM,Industry may have packaging needs,0.85,62.59,Warm,54.17,77.5,96.0,28.85,100.0
Wilson & Walker Holdings,62012,Information & Communication,0.5,Southend,MEDIUM,Industry may have packaging needs,0.85,62.58,Warm,54.17,67.5,95.5,50.0,100.0
Speedy PLC,43320,Construction,4.5,Manchester,MEDIUM,Industry may have packaging needs,0.85,62.43,Warm,36.49,87.5,100.0,50.0,100.0
UTK Print,43220,Construction,5.1,London,MEDIUM,Industry may have packaging needs,0.85,62.39,Warm,66.67,90.5,98.5,46.74,40.0
Dynamic Group,94990,Other Services,3.4,Milton Keynes,MEDIUM,Industry may have packaging needs,0.85,62.28,Warm,40.0,82.0,99.5,50.0,100.0
Brown & Wilson Consulting,56102,Accommodation & Food,11.4,Bradford,MEDIUM,Food service packaging,0.85,62.19,Warm,61.36,100.0,95.0,50.0,40.0
BGD Services,43210,Construction,4.8,Kent,MEDIUM,Industry may have packaging needs,0.85,62.17,Warm,36.49,89.0,97.0,51.47,100.0
Wright & Thomas Print,62020,Information & Communication,0.5,Exeter,MEDIUM,Industry may have packaging needs,0.85,62.16,Warm,54.17,67.5,93.5,50.0,100.0
VRM Development,59200,Information & Communication,2.2,Wales,MEDIUM,Industry may have packaging needs,0.85,61.85,Warm,54.17,76.0,98.0,50.0,78.74
Sterling Engineering,41202,Construction,13.0,Taunton,MEDIUM,Industry may have packaging needs,0.85,61.84,Warm,36.49,100.0,100.0,50.0,78.74
Cloud Ltd,41202,Construction,9.0,Stockport,MEDIUM,Industry may have packaging needs,0.85,61.84,Warm,36.49,100.0,100.0,50.0,78.74
VSU Construction,43320,Construction,8.2,Blackpool,MEDIUM,Industry may have packaging needs,0.85,61.84,Warm,36.49,100.0,100.0,50.0,78.74
WLC Technologies,56210,Accommodation & Food,6.8,London,MEDIUM,Food service packaging,0.85,61.74,Warm,61.36,99.0,95.0,46.74,40.0
BMY Innovations,77110,Administrative Services,5.2,London,MEDIUM,Industry may have packaging needs,0.85,61.64,Warm,69.64,91.0,91.0,46.74,40.0
Apex Holdings,62012,Information & Communication,13.7,Kent,MEDIUM,Industry may have packaging needs,0.85,61.54,Warm,54.17,100.0,100.0,51.47,40.0
Direct Management,73110,Professional Services,15.2,Birmingham,MEDIUM,"Marketing materials, presentation folders",0.85,61.52,Warm,52.73,100.0,100.0,55.56,40.0
Johnson & Jones Resources,56210,Accommodation & Food,10.9,West Midlands,MEDIUM,Food service packaging,0.85,61.45,Warm,61.36,100.0,100.0,28.85,40.0
TGL Industries,41100,Construction,14.4,Nottingham,MEDIUM,Industry may have packaging needs,0.85,61.37,Warm,36.49,100.0,100.0,12.5,100.0
Data PLC,86230,Health,0.8,Chelmsford,MEDIUM,Industry may have packaging needs,0.85,61.35,Warm,50.0,69.0,93.5,50.0,100.0
Swift Limited,58190,Information & Communication,4.8,Derby,MEDIUM,Publishing materials,0.85,61.31,Warm,61.11,89.0,100.0,50.0,40.0
DRI Design,74909,Professional Services,1.1,Newport,MEDIUM,"Design services, presentations",0.85,61.24,Warm,52.73,70.5,88.5,50.0,100.0
Williams & Wilson Group,56102,Accommodation & Food,4.6,Kent,MEDIUM,Food service packaging,0.85,61.23,Warm,61.36,88.0,99.5,51.47,40.0
Walker & Wilson Media,55100,Accommodation & Food,1.7,Nottingham,MEDIUM,Food service packaging,0.85,61.08,Warm,61.36,73.5,90.0,12.5,100.0
Diamond & Co,74909,Professional Services,91.1,Oxford,MEDIUM,"Design services, presentations",0.85,61.05,Warm,52.73,60.0,86.0,75.0,100.0
Williams & Taylor Properties,73120,Professional Services,17.7,Coventry,MEDIUM,"Marketing materials, presentation folders",0.85,61.05,Warm,52.73,100.0,100.0,50.0,40.0
Net Enterprises,72190,Professional Services,25.9,Staffordshire,MEDIUM,Industry may have packaging needs,0.85,61.05,Warm,52.73,100.0,100.0,50.0,40.0
Nova Services,43290,Construction,3.4,Staffordshire,MEDIUM,Industry may have packaging needs,0.85,60.8,Warm,40.0,82.0,92.5,50.0,100.0
North Solutions,41202,Construction,3.8,Perth,MEDIUM,Industry may have packaging needs,0.85,60.77,Warm,36.49,84.0,95.0,50.0,100.0
Nova LLP,93110,Arts & Entertainment,10.9,Aberdeen,MEDIUM,Industry may have packaging needs,0.85,60.71,Warm,21.43,100.0,100.0,50.0,100.0
TNI Industries,41202,Construction,6.4,Leicester,MEDIUM,Industry may have packaging needs,0.85,60.63,Warm,36.49,97.0,100.0,41.67,78.74
RPH Innovations,73120,Professional Services,6.4,Warrington,MEDIUM,"Marketing materials, presentation folders",0.85,60.54,Warm,52.73,97.0,100.0,50.0,40.0
Dynamic Services,86900,Health,8.1,Kent,MEDIUM,Industry may have packaging needs,0.85,60.47,Warm,50.0,100.0,100.0,51.47,40.0
Express Ltd,62090,Information & Communication,23.8,East Midlands,MEDIUM,Industry may have packaging needs,0.85,60.35,Warm,54.17,100.0,95.0,50.0,40.0
Wilson & Johnson Design,81300,Administrative Services,0.1,Liverpool,MEDIUM,Industry may have packaging needs,0.85,60.24,Warm,69.64,65.5,93.5,75.0,40.0
Jones & Smith Properties,58190,Information & Communication,92.6,Stockport,MEDIUM,Publishing materials,0.85,60.21,Warm,61.11,60.0,82.0,50.0,100.0
PCZ Development,86220,Health,9.4,London,MEDIUM,Industry may have packaging needs,0.85,60.07,Warm,50.0,100.0,100.0,46.74,40.0
Taylor & Taylor Development,42990,Construction,15.3,West Midlands,MEDIUM,Industry may have packaging needs,0.85,60.05,Warm,36.49,100.0,100.0,28.85,78.74
WIS Consulting,82990,Administrative Services,1.8,London,MEDIUM,Fulfillment and business support,0.85,59.81,Cool,69.64,74.0,96.0,46.74,40.0
Cyber Group,49320,Transportation,6.5,London,MEDIUM,Industry may have packaging needs,0.85,59.65,Cool,50.0,97.5,100.0,46.74,40.0
Nova LLP,90010,Arts & Entertainment,8.0,Belfast,MEDIUM,Industry may have packaging needs,0.85,59.65,Cool,21.43,100.0,95.0,50.0,100.0
Urban Enterprises,59112,Information & Communication,17.6,Sheffield,MEDIUM,Industry may have packaging needs,0.85,59.64,Cool,54.17,100.0,95.0,41.67,40.0
Digital Marketing,49410,Transportation,6.0,Halifax,MEDIUM,Industry may have packaging needs,0.85,59.5,Cool,50.0,95.0,100.0,50.0,40.0
South PLC,49410,Transportation,8.2,Kent,MEDIUM,Industry may have packaging needs,0.85,59.41,Cool,50.0,100.0,95.0,51.47,40.0
WIO Capital,58190,Information & Communication,3.1,Dumfries,MEDIUM,Publishing materials,0.85,59.34,Cool,61.11,80.5,97.5,50.0,40.0
Evans & Walker Media,52290,Transportation,15.3,Lancashire,MEDIUM,Industry may have packaging needs,0.85,59.29,Cool,50.0,100.0,100.0,37.5,40.0
Vertex Innovations,42210,Construction,35.7,Belfast,MEDIUM,Industry may have packaging needs,0.85,59.0,Cool,36.49,93.3,92.0,50.0,78.74
West Capital,73110,Professional Services,35.7,Belfast,MEDIUM,"Marketing materials, presentation folders",0.85,58.85,Cool,52.73,93.3,95.0,50.0,40.0
XFM Properties,72190,Professional Services,0.1,Swansea,MEDIUM,Industry may have packaging needs,0.85,58.74,Cool,52.73,65.5,93.5,50.0,78.74
Green Group,49410,Transportation,15.7,West Midlands,MEDIUM,Industry may have packaging needs,0.85,58.55,Cool,50.0,100.0,100.0,28.85,40.0
NBK Holdings,82990,Administrative Services,0.6,East Midlands,MEDIUM,Fulfillment and business support,0.85,58.54,Cool,69.64,68.0,93.5,50.0,40.0
Speedy Associates,86101,Health,51.6,West Midlands,MEDIUM,Industry may have packaging needs,0.85,58.37,Cool,50.0,77.4,94.0,28.85,78.74
Red LLP,94910,Other Services,18.2,Cardiff,MEDIUM,Industry may have packaging needs,0.85,58.06,Cool,40.0,100.0,99.0,55.56,40.0
Prime & Co,43341,Construction,8.4,Middlesex,MEDIUM,Industry may have packaging needs,0.85,57.97,Cool,36.49,100.0,100.0,62.5,40.0
Info International,82110,Administrative Services,0.8,Lancashire,MEDIUM,Fulfillment and business support,0.85,57.96,Cool,69.64,69.0,95.0,37.5,40.0
Walker & Evans Management,96020,Other Services,2.9,Colchester,MEDIUM,Industry may have packaging needs,0.85,57.87,Cool,40.0,79.5,93.5,50.0,78.74
KDV Engineering,43210,Construction,0.9,London,MEDIUM,Industry may have packaging needs,0.85,57.82,Cool,36.49,69.5,94.0,46.74,100.0
Evans & Davies Communications,94120,Other Services,10.6,Belfast,MEDIUM,Industry may have packaging needs,0.85,57.8,Cool,40.0,100.0,100.0,50.0,40.0
UBZ Partners,94990,Other Services,8.6,Swindon,MEDIUM,Industry may have packaging needs,0.85,57.8,Cool,40.0,100.0,100.0,50.0,40.0
Crown LLP,94110,Other Services,16.6,Brighton,MEDIUM,Industry may have packaging needs,0.85,57.8,Cool,40.0,100.0,100.0,50.0,40.0
Blue International,90020,Arts & Entertainment,9.9,London,MEDIUM,Industry may have packaging needs,0.85,57.73,Cool,21.43,100.0,100.0,46.74,78.74
Metro Capital,41201,Construction,5.4,Cornwall,MEDIUM,Industry may have packaging needs,0.85,57.67,Cool,36.49,92.0,100.0,75.0,40.0
Quick Ltd,49320,Transportation,38.7,Colchester,MEDIUM,Industry may have packaging needs,0.85,57.64,Cool,50.0,90.3,95.0,50.0,40.0
QLH Innovations,52290,Transportation,4.4,Motherwell,MEDIUM,Industry may have packaging needs,0.85,57.61,Cool,50.0,87.0,97.5,50.0,40.0
Jones & Brown Industries,94910,Other Services,27.3,London,MEDIUM,Industry may have packaging needs,0.85,57.52,Cool,40.0,100.0,100.0,46.74,40.0
Eco PLC,96090,Other Services,8.9,London,MEDIUM,Industry may have packaging needs,0.85,57.52,Cool,40.0,100.0,100.0,46.74,40.0
Tech Resources,58142,Information & Communication,45.7,Inverness,MEDIUM,Publishing materials,0.85,57.51,Cool,54.17,83.3,95.0,50.0,40.0
Jones & Roberts Trading,43290,Construction,6.9,London,MEDIUM,Industry may have packaging needs,0.85,57.44,Cool,40.0,99.5,100.0,46.74,40.0
Phoenix International,90030,Arts & Entertainment,6.3,Jersey,MEDIUM,Industry may have packaging needs,0.85,57.41,Cool,21.43,96.5,100.0,50.0,78.74
Jones & Brown Solutions,86210,Health,5.6,London,MEDIUM,Industry may have packaging needs,0.85,57.4,Cool,50.0,93.0,93.0,46.74,40.0
Rapid Print,56210,Accommodation & Food,0.7,Preston,MEDIUM,Food service packaging,0.85,57.15,Cool,61.36,68.5,96.5,50.0,40.0
Johnson & Davies Trading,94910,Other Services,8.8,Sheffield,MEDIUM,Industry may have packaging needs,0.85,57.09,Cool,40.0,100.0,100.0,41.67,40.0
Davies & Brown Properties,43999,Construction,0.0,London,MEDIUM,Industry may have packaging needs,0.85,57.05,Cool,36.49,65.0,94.0,46.74,100.0
Evans & Williams Technologies,62020,Information & Communication,42.5,Torquay,MEDIUM,Industry may have packaging needs,0.85,56.99,Cool,54.17,86.5,90.0,50.0,40.0
Crown Partners,53100,Transportation,3.2,Huddersfield,MEDIUM,Industry may have packaging needs,0.85,56.91,Cool,50.0,81.0,99.0,50.0,40.0
Apex & Co,41202,Construction,17.6,Belfast,MEDIUM,Industry may have packaging needs,0.85,56.9,Cool,36.49,100.0,100.0,50.0,40.0
Smith & Walker Construction,43341,Construction,17.5,Norwich,MEDIUM,Industry may have packaging needs,0.85,56.9,Cool,36.49,100.0,100.0,50.0,40.0
Instant Limited,42210,Construction,24.9,Ipswich,MEDIUM,Industry may have packaging needs,0.85,56.9,Cool,36.49,100.0,100.0,50.0,40.0
Express International,43290,Construction,7.2,Wakefield,MEDIUM,Industry may have packaging needs,0.85,56.74,Cool,40.0,100.0,95.0,50.0,40.0
Instant Group,90030,Arts & Entertainment,3.3,London,MEDIUM,Industry may have packaging needs,0.85,56.65,Cool,21.43,81.5,97.0,46.74,100.0
Thompson & Walker Manufacturing,43999,Construction,14.4,London,MEDIUM,Industry may have packaging needs,0.85,56.63,Cool,36.49,100.0,100.0,46.74,40.0
Premier Innovations,41202,Construction,16.2,London,MEDIUM,Industry may have packaging needs,0.85,56.63,Cool,36.49,100.0,100.0,46.74,40.0
Green Services,86220,Health,44.8,Milton Keynes,MEDIUM,Industry may have packaging needs,0.85,56.6,Cool,50.0,84.2,95.0,50.0,40.0
Cloud Ltd,78109,Administrative Services,0.3,West Midlands,MEDIUM,Industry may have packaging needs,0.85,56.59,Cool,69.64,66.5,94.0,28.85,40.0
Davies & Roberts Associates,43210,Construction,6.6,Durham,MEDIUM,Industry may have packaging needs,0.85,56.56,Cool,36.49,98.0,100.0,50.0,40.0
QNV Partners,96040,Other Services,36.1,Kent,MEDIUM,Industry may have packaging needs,0.85,56.51,Cool,40.0,92.9,99.0,51.47,40.0
Info LLP,41100,Construction,2.3,London,MEDIUM,Industry may have packaging needs,0.85,56.51,Cool,36.49,76.5,95.0,46.74,78.74
Brown & Smith Systems,99999,Other,3.2,London,MEDIUM,Industry may have packaging needs,0.85,56.42,Cool,50.0,81.0,98.0,46.74,40.0
Roberts & Roberts Management,86210,Health,3.0,Wigan,MEDIUM,Industry may have packaging needs,0.85,56.42,Cool,50.0,80.0,97.5,50.0,40.0
Pro Resources,43110,Construction,16.0,Cardiff,MEDIUM,Industry may have packaging needs,0.85,56.31,Cool,36.49,100.0,95.0,55.56,40.0
AIY Technologies,42990,Construction,5.4,Birmingham,MEDIUM,Industry may have packaging needs,0.85,56.02,Cool,36.49,92.0,100.0,55.56,40.0
Quantum Capital,90010,Arts & Entertainment,4.5,Huddersfield,MEDIUM,Industry may have packaging needs,0.85,55.88,Cool,21.43,87.5,100.0,50.0,78.74
Diamond Manufacturing,96090,Other Services,6.3,London,MEDIUM,Industry may have packaging needs,0.85,55.87,Cool,40.0,96.5,95.0,46.74,40.0
IFA Manufacturing,41202,Construction,8.7,Reading,MEDIUM,Industry may have packaging needs,0.85,55.84,Cool,36.49,100.0,95.0,50.0,40.0
Diamond International,41202,Construction,29.1,Lancashire,MEDIUM,Industry may have packaging needs,0.85,55.82,Cool,36.49,99.9,100.0,37.5,40.0
Urban Construction,96090,Other Services,5.1,Cheshire,MEDIUM,Industry may have packaging needs,0.85,55.8,Cool,40.0,90.5,100.0,45.45,40.0
Data Systems,99999,Other,88.9,Norwich,MEDIUM,Industry may have packaging needs,0.85,55.73,Cool,50.0,60.0,87.0,50.0,78.74
Instant LLP,88100,Health,3.4,Glasgow,MEDIUM,Industry may have packaging needs,0.85,55.7,Cool,50.0,82.0,100.0,31.25,40.0
Crown LLP,43290,Construction,29.3,Manchester,MEDIUM,Industry may have packaging needs,0.85,55.62,Cool,40.0,99.7,90.0,50.0,40.0
Net Group,43320,Construction,5.7,Halifax,MEDIUM,Industry may have packaging needs,0.85,55.59,Cool,36.49,93.5,99.0,50.0,40.0
CDF Communications,49320,Transportation,2.5,Stockport,MEDIUM,Industry may have packaging needs,0.85,55.57,Cool,50.0,77.5,95.5,50.0,40.0
Elite Group,42990,Construction,9.0,London,MEDIUM,Industry may have packaging needs,0.85,55.56,Cool,36.49,100.0,95.0,46.74,40.0
NQK Systems,90010,Arts & Entertainment,3.2,London,MEDIUM,Industry may have packaging needs,0.85,55.51,Cool,21.43,81.0,92.0,46.74,100.0
Roberts & Walker Solutions,74100,Professional Services,84.3,West Midlands,MEDIUM,"Design services, presentations",0.85,55.48,Cool,52.73,60.0,91.0,28.85,78.74
Titan Holdings,62020,Information & Communication,1.6,Bolton,MEDIUM,Industry may have packaging needs,0.85,55.44,Cool,54.17,73.0,93.5,50.0,40.0
Williams & Taylor Properties,43220,Construction,0.6,Cambridge,MEDIUM,Industry may have packaging needs,0.85,55.41,Cool,66.67,68.0,94.0,20.83,40.0
Smith & Williams Creative,93110,Arts & Entertainment,5.1,Torquay,MEDIUM,Industry may have packaging needs,0.85,55.33,Cool,21.43,90.5,95.0,50.0,78.74
Core PLC,43290,Construction,10.7,Cambridge,MEDIUM,Industry may have packaging needs,0.85,55.32,Cool,40.0,100.0,100.0,20.83,40.0
Alpha Ltd,93120,Arts & Entertainment,7.6,Cornwall,MEDIUM,Industry may have packaging needs,0.85,55.19,Cool,21.43,100.0,100.0,75.0,40.0
CZW Properties,93120,Arts & Entertainment,3.8,Sunderland,MEDIUM,Industry may have packaging needs,0.85,55.18,Cool,21.43,84.0,99.5,50.0,78.74
Peak Construction,96020,Other Services,2.7,Surrey,MEDIUM,Industry may have packaging needs,0.85,55.12,Cool,40.0,78.5,96.0,71.43,40.0
Elite Group,42990,Construction,4.7,Chelmsford,MEDIUM,Industry may have packaging needs,0.85,54.74,Cool,36.49,88.5,99.0,50.0,40.0
Data Group,43210,Construction,74.1,Sheffield,MEDIUM,Industry may have packaging needs,0.85,54.71,Cool,36.49,60.0,89.0,41.67,100.0
Williams & Davies Resources,94120,Other Services,5.8,Bristol,MEDIUM,Industry may have packaging needs,0.85,54.46,Cool,40.0,94.0,100.0,22.73,40.0
Williams & Wilson Creative,43390,Construction,37.3,Brighton,MEDIUM,Industry may have packaging needs,0.85,54.43,Cool,36.49,91.7,95.0,50.0,40.0
JSB Print,90030,Arts & Entertainment,2.2,West Midlands,MEDIUM,Industry may have packaging needs,0.85,54.41,Cool,21.43,76.0,98.0,28.85,100.0
Central Communications,49320,Transportation,1.3,London,MEDIUM,Industry may have packaging needs,0.85,54.06,Cool,50.0,71.5,94.5,46.74,40.0
Royal UK,49410,Transportation,0.8,Shrewsbury,MEDIUM,Industry may have packaging needs,0.85,53.8,Cool,50.0,69.0,94.0,50.0,40.0
Thomas & Thompson Print,43210,Construction,9.5,Nottingham,MEDIUM,Industry may have packaging needs,0.85,53.72,Cool,36.49,100.0,100.0,12.5,40.0
Blue Holdings,49410,Transportation,1.4,Kent,MEDIUM,Industry may have packaging needs,0.85,53.7,Cool,50.0,72.0,90.5,51.47,40.0
Roberts & Taylor Manufacturing,43120,Construction,3.5,London,MEDIUM,Industry may have packaging needs,0.85,53.44,Cool,36.49,82.5,99.0,46.74,40.0
Prime Media,68310,Real Estate,7.5,Kent,LOW,Real estate - limited need,0.6,53.18,Cool,78.26,100.0,100.0,51.47,100.0
Swift UK,68201,Real Estate,10.6,Taunton,LOW,Real estate - limited need,0.6,53.09,Cool,78.26,100.0,100.0,50.0,100.0
Pro Limited,68100,Real Estate,6.9,Stockport,LOW,Real estate - limited need,0.6,53.03,Cool,78.26,99.5,100.0,50.0,100.0
Walker & Williams Engineering,43210,Construction,5.8,West Midlands,MEDIUM,Industry may have packaging needs,0.85,53.02,Cool,36.49,94.0,95.0,28.85,40.0
Davies & Evans Creative,68100,Real Estate,30.7,Hull,LOW,Real estate - limited need,0.6,52.88,Cool,78.26,98.3,100.0,50.0,100.0
Instant LLP,93130,Arts & Entertainment,9.4,London,MEDIUM,Industry may have packaging needs,0.85,52.79,Cool,21.43,100.0,100.0,46.74,40.0
Thomas & Evans Construction,68100,Real Estate,30.6,Blackpool,LOW,Real estate - limited need,0.6,52.74,Cool,78.26,98.4,99.0,50.0,100.0
Cyber LLP,68209,Real Estate,21.5,Wakefield,LOW,Real estate - limited need,0.6,52.34,Cool,78.26,100.0,95.0,50.0,100.0
PES Construction,68209,Real Estate,9.9,Aberdeen,LOW,Real estate - limited need,0.6,52.34,Cool,78.26,100.0,95.0,50.0,100.0
YRO Trading,88100,Health,64.3,Milton Keynes,MEDIUM,Industry may have packaging needs,0.85,52.22,Cool,50.0,64.7,90.0,50.0,40.0
Red Group,94110,Other Services,1.7,Colchester,MEDIUM,Industry may have packaging needs,0.85,51.91,Cool,40.0,73.5,93.5,50.0,40.0
Davies & Jones Services,43390,Construction,2.3,London,MEDIUM,Industry may have packaging needs,0.85,51.89,Cool,36.49,76.5,96.5,46.74,40.0
